timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2020-08-30,6.52000000,7.41500000,6.50000000,7.30100000,6.52000000,7.41500000,6.50000000,7.30100000,1749192.33300000,1749192.33300000
2020-08-29,6.86600000,7.00000000,6.46600000,6.52900000,6.86600000,7.00000000,6.46600000,6.52900000,970916.60300000,970916.60300000
2020-08-28,6.09200000,7.11200000,6.00400000,6.86600000,6.09200000,7.11200000,6.00400000,6.86600000,2318789.97100000,2318789.97100000
2020-08-27,6.12100000,6.43000000,5.86000000,6.09300000,6.12100000,6.43000000,5.86000000,6.09300000,1294103.66600000,1294103.66600000
2020-08-26,5.85900000,6.45000000,5.82300000,6.12100000,5.85900000,6.45000000,5.82300000,6.12100000,1219594.48500000,1219594.48500000
2020-08-25,6.23900000,6.57000000,5.50000000,5.86700000,6.23900000,6.57000000,5.50000000,5.86700000,1379764.44100000,1379764.44100000
2020-08-24,5.68800000,6.30000000,5.53500000,6.23100000,5.68800000,6.30000000,5.53500000,6.23100000,937828.10000000,937828.10000000
2020-08-23,5.82900000,5.89100000,5.34400000,5.67800000,5.82900000,5.89100000,5.34400000,5.67800000,794637.67200000,794637.67200000
2020-08-22,5.32400000,6.04800000,5.10600000,5.83100000,5.32400000,6.04800000,5.10600000,5.83100000,1029008.02100000,1029008.02100000
2020-08-21,6.17600000,6.27000000,5.21000000,5.31500000,6.17600000,6.27000000,5.21000000,5.31500000,1307457.17500000,1307457.17500000
2020-08-20,6.09200000,6.77000000,6.06100000,6.17500000,6.09200000,6.77000000,6.06100000,6.17500000,1595979.89300000,1595979.89300000
2020-08-19,6.14600000,6.40900000,5.40000000,6.09100000,6.14600000,6.40900000,5.40000000,6.09100000,1880672.80100000,1880672.80100000
2020-08-18,6.15600000,6.68000000,5.51900000,6.14500000,6.15600000,6.68000000,5.51900000,6.14500000,1375748.45400000,1375748.45400000
2020-08-17,6.39800000,6.87500000,6.07200000,6.17700000,6.39800000,6.87500000,6.07200000,6.17700000,1206308.71400000,1206308.71400000
2020-08-16,6.85900000,6.88700000,6.10000000,6.40500000,6.85900000,6.88700000,6.10000000,6.40500000,1016350.40600000,1016350.40600000
2020-08-15,6.14600000,7.46000000,5.90000000,6.85900000,6.14600000,7.46000000,5.90000000,6.85900000,3868282.05300000,3868282.05300000
2020-08-14,5.07000000,6.49500000,4.93000000,6.15000000,5.07000000,6.49500000,4.93000000,6.15000000,2240420.40500000,2240420.40500000
2020-08-13,5.64400000,6.00000000,4.73600000,5.07200000,5.64400000,6.00000000,4.73600000,5.07200000,1690119.63900000,1690119.63900000
2020-08-12,4.87900000,5.92100000,4.84700000,5.64300000,4.87900000,5.92100000,4.84700000,5.64300000,1561796.63300000,1561796.63300000
